,ds,y
199,2018-07-19,27191.96
200,2018-07-20,27192.83
201,2018-07-21,27193.71
202,2018-07-22,27194.59
203,2018-07-23,27195.46
204,2018-07-24,27196.34
205,2018-07-25,27197.22
206,2018-07-26,27198.09
207,2018-07-27,27198.97
208,2018-07-28,27199.85
209,2018-07-29,27200.72
210,2018-07-30,27201.6
211,2018-07-31,27202.48
212,2018-08-01,27203.36
213,2018-08-02,27204.23
214,2018-08-03,27205.11
215,2018-08-04,27205.99
216,2018-08-05,27206.86
217,2018-08-06,27207.74
218,2018-08-07,27208.62
219,2018-08-08,27209.5
220,2018-08-09,27210.37
221,2018-08-10,27213.87
222,2018-08-11,27217.38
223,2018-08-12,27220.88
224,2018-08-13,27224.39
225,2018-08-14,27227.9
226,2018-08-15,27231.4
227,2018-08-16,27234.91
228,2018-08-17,27238.42
229,2018-08-18,27241.92
230,2018-08-19,27245.43
231,2018-08-20,27248.94
232,2018-08-21,27252.45
233,2018-08-22,27255.96
234,2018-08-23,27259.47
235,2018-08-24,27262.98
236,2018-08-25,27266.49
237,2018-08-26,27270.0
238,2018-08-27,27273.52
239,2018-08-28,27277.03
240,2018-08-29,27280.54
241,2018-08-30,27284.05
242,2018-08-31,27287.57
243,2018-09-01,27291.08
244,2018-09-02,27294.6
245,2018-09-03,27298.11
246,2018-09-04,27301.63
247,2018-09-05,27305.14
248,2018-09-06,27308.66
249,2018-09-07,27312.18
250,2018-09-08,27315.69
251,2018-09-09,27319.21
252,2018-09-10,27321.03
253,2018-09-11,27322.85
254,2018-09-12,27324.67
255,2018-09-13,27326.49
256,2018-09-14,27328.31
257,2018-09-15,27330.13
258,2018-09-16,27331.95
259,2018-09-17,27333.77
260,2018-09-18,27335.59
261,2018-09-19,27337.41
262,2018-09-20,27339.23
263,2018-09-21,27341.05
264,2018-09-22,27342.87
265,2018-09-23,27344.69
266,2018-09-24,27346.52
267,2018-09-25,27348.34
268,2018-09-26,27350.16
269,2018-09-27,27351.98
270,2018-09-28,27353.8
271,2018-09-29,27355.62
272,2018-09-30,27357.45
273,2018-10-01,27359.27
274,2018-10-02,27361.09
275,2018-10-03,27362.91
276,2018-10-04,27364.73
277,2018-10-05,27366.56
278,2018-10-06,27368.38
279,2018-10-07,27370.2
280,2018-10-08,27372.03
281,2018-10-09,27373.85
282,2018-10-10,27376.5
283,2018-10-11,27379.14
284,2018-10-12,27381.79
285,2018-10-13,27384.43
286,2018-10-14,27387.08
287,2018-10-15,27389.73
288,2018-10-16,27392.37
289,2018-10-17,27395.02
290,2018-10-18,27397.67
291,2018-10-19,27400.31
292,2018-10-20,27402.96
293,2018-10-21,27405.61
294,2018-10-22,27408.26
295,2018-10-23,27410.91
296,2018-10-24,27413.56
297,2018-10-25,27416.2
298,2018-10-26,27418.85
299,2018-10-27,27421.5
300,2018-10-28,27424.15
301,2018-10-29,27426.8
302,2018-10-30,27429.45
303,2018-10-31,27432.1
304,2018-11-01,27434.76
305,2018-11-02,27437.41
306,2018-11-03,27440.06
307,2018-11-04,27442.71
308,2018-11-05,27445.36
309,2018-11-06,27448.01
310,2018-11-07,27450.67
311,2018-11-08,27453.32
312,2018-11-09,27455.97
313,2018-11-10,27459.62
314,2018-11-11,27463.28
315,2018-11-12,27466.93
316,2018-11-13,27470.59
317,2018-11-14,27474.24
318,2018-11-15,27477.9
319,2018-11-16,27481.56
320,2018-11-17,27485.21
321,2018-11-18,27488.87
322,2018-11-19,27492.53
323,2018-11-20,27496.19
324,2018-11-21,27499.85
325,2018-11-22,27503.51
326,2018-11-23,27507.17
327,2018-11-24,27510.83
328,2018-11-25,27514.49
329,2018-11-26,27518.15
330,2018-11-27,27521.81
331,2018-11-28,27525.47
332,2018-11-29,27529.14
333,2018-11-30,27532.8
334,2018-12-01,27536.46
335,2018-12-02,27540.13
336,2018-12-03,27543.79
337,2018-12-04,27547.46
338,2018-12-05,27551.13
339,2018-12-06,27554.79
340,2018-12-07,27558.46
341,2018-12-08,27562.13
342,2018-12-09,27565.79
343,2018-12-10,27565.79
344,2018-12-11,27565.79
345,2018-12-12,27565.79
346,2018-12-13,27565.79
347,2018-12-14,27565.79
348,2018-12-15,27565.79
349,2018-12-16,27565.79
350,2018-12-17,27565.79
351,2018-12-18,27565.79
352,2018-12-19,27565.79
353,2018-12-20,27565.79
354,2018-12-21,27565.79
355,2018-12-22,27565.79
356,2018-12-23,27565.79
357,2018-12-24,27565.79
358,2018-12-25,27565.79
359,2018-12-26,27565.79
360,2018-12-27,27565.79
361,2018-12-28,27565.79
362,2018-12-29,27565.79
363,2018-12-30,27565.79
364,2018-12-31,27565.79
365,2019-01-01,27565.79
366,2019-01-02,27565.79
367,2019-01-03,27565.79
368,2019-01-04,27565.79
369,2019-01-05,27565.79
370,2019-01-06,27565.79
371,2019-01-07,27565.79
372,2019-01-08,27565.79
373,2019-01-09,27565.79
374,2019-01-10,27564.9
375,2019-01-11,27564.01
376,2019-01-12,27563.12
377,2019-01-13,27562.23
378,2019-01-14,27561.34
379,2019-01-15,27560.45
380,2019-01-16,27559.56
381,2019-01-17,27558.67
382,2019-01-18,27557.78
383,2019-01-19,27556.89
384,2019-01-20,27556.01
385,2019-01-21,27555.12
386,2019-01-22,27554.23
387,2019-01-23,27553.34
388,2019-01-24,27552.45
389,2019-01-25,27551.56
390,2019-01-26,27550.67
391,2019-01-27,27549.78
392,2019-01-28,27548.89
393,2019-01-29,27548.0
394,2019-01-30,27547.11
395,2019-01-31,27546.22
396,2019-02-01,27545.34
397,2019-02-02,27544.45
398,2019-02-03,27543.56
399,2019-02-04,27542.67
400,2019-02-05,27541.78
401,2019-02-06,27540.89
402,2019-02-07,27540.0
403,2019-02-08,27539.11
404,2019-02-09,27538.22
405,2019-02-10,27539.2
406,2019-02-11,27540.19
407,2019-02-12,27541.17
408,2019-02-13,27542.15
409,2019-02-14,27543.14
410,2019-02-15,27544.12
411,2019-02-16,27545.1
412,2019-02-17,27546.09
413,2019-02-18,27547.07
414,2019-02-19,27548.05
415,2019-02-20,27549.04
416,2019-02-21,27550.02
417,2019-02-22,27551.0
418,2019-02-23,27551.99
419,2019-02-24,27552.97
420,2019-02-25,27553.95
421,2019-02-26,27554.94
422,2019-02-27,27555.92
423,2019-02-28,27556.9
424,2019-03-01,27557.89
425,2019-03-02,27558.87
426,2019-03-03,27559.85
427,2019-03-04,27560.84
428,2019-03-05,27561.82
429,2019-03-06,27562.81
430,2019-03-07,27563.79
431,2019-03-08,27564.77
432,2019-03-09,27565.76
433,2019-03-10,27565.76
434,2019-03-11,27565.76
435,2019-03-12,27565.76
436,2019-03-13,27565.76
437,2019-03-14,27565.76
438,2019-03-15,27565.76
439,2019-03-16,27565.76
440,2019-03-17,27565.76
